generatorauthor,aiauthor,travelleddistance
Sebastian Asen,Vsevolod Tymofyeyev,12.966244991546178
Sebastian Vogl,Vsevolod Tymofyeyev,2.0004070392684334
Reference Generator,Marco Landau,12.756234886175914
Sebastian Vogl,Vsevolod Tymofyeyev,7.542819582127711
Sebastian Vogl,Marco Landau,4.978061207792149
Sebastian Vogl,Marco Landau,4.96821548929405
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,27.204078837472796
Reference Generator,Marco Landau,12.715373821736428
Harish Swaminathan Gopal,Reference AI,447.479732963151
Sebastian Asen,Marco Landau,9.901630505927539
Sebastian Asen,Reference AI,285.6335906157445
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.693693712172215
Sebastian Vogl,Marco Landau,30.063299841977646
Sebastian Asen,Marco Landau,59.772271475678025
Harish Swaminathan Gopal,Reference AI,224.4655427668289
Harish Swaminathan Gopal,Reference AI,35.42082056125055
Sebastian Vogl,Marco Landau,8.788222955611557
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,27.2046657451528
Reference Generator,Vsevolod Tymofyeyev,113.7403823532334
Reference Generator,Reference AI,469.98685744483623
Harish Swaminathan Gopal,Reference AI,40.924878454682194
Reference Generator,Marco Landau,77.92822500540488
Sebastian Vogl,Vsevolod Tymofyeyev,9.02174616181647
Reference Generator,Reference AI,373.77554098994494
Reference Generator,Vsevolod Tymofyeyev,19.52113202829277
Harish Swaminathan Gopal,Marco Landau,9.685351680337204
Harish Swaminathan Gopal,Reference AI,448.6581343561063
Reference Generator,Vsevolod Tymofyeyev,17.72734986174098
Reference Generator,Vsevolod Tymofyeyev,14.248794047887737
Reference Generator,Reference AI,410.71153087023185
Sebastian Asen,Marco Landau,9.89580646769051
Reference Generator,Vsevolod Tymofyeyev,10.808575725780639
Sebastian Vogl,Marco Landau,6.593616888923329e-05
Harish Swaminathan Gopal,Marco Landau,0.20927729333511447
Sebastian Vogl,Reference AI,0.0004854331138322475
Harish Swaminathan Gopal,Reference AI,145.09284877135244
Reference Generator,Vsevolod Tymofyeyev,16.37127729267182
Sebastian Asen,Marco Landau,9.643888051925863
Harish Swaminathan Gopal,Marco Landau,0.20925604221478553
Harish Swaminathan Gopal,Reference AI,139.68746037354353
Harish Swaminathan Gopal,Marco Landau,9.432673300621772
Sebastian Vogl,Reference AI,7.104997106465443e-05
Sebastian Vogl,Vsevolod Tymofyeyev,6.0322975272174295
Harish Swaminathan Gopal,Reference AI,513.9808466316282
Reference Generator,Vsevolod Tymofyeyev,13.739506297578687
Harish Swaminathan Gopal,Marco Landau,0.20873300927871605
Sebastian Asen,Vsevolod Tymofyeyev,12.965837777551709
Harish Swaminathan Gopal,Reference AI,142.15382835160602
Sebastian Asen,Reference AI,275.20820937341
Reference Generator,Marco Landau,45.93516258966561
Sebastian Vogl,Vsevolod Tymofyeyev,5.780223857633266e-05
Sebastian Asen,Marco Landau,9.886071578327403
Sebastian Vogl,Vsevolod Tymofyeyev,6.068991141120267
Harish Swaminathan Gopal,Marco Landau,9.432320555139167
Sebastian Vogl,Marco Landau,5.1398779262251655e-05
Reference Generator,Reference AI,530.9718987122055
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,19.281457606758337
Reference Generator,Vsevolod Tymofyeyev,12.194648290185807
Sebastian Vogl,Vsevolod Tymofyeyev,5.827987150365579
Sebastian Vogl,Vsevolod Tymofyeyev,7.5837358786940055
Harish Swaminathan Gopal,Reference AI,295.3684827103085
Sebastian Vogl,Marco Landau,7.459284156169527
Harish Swaminathan Gopal,Reference AI,35.303456885495805
Reference Generator,Reference AI,371.7055678619355
