goalarea,invalidgoalarea,author
2513.5,False,Harish Swaminathan Gopal
7068.5,False,Harish Swaminathan Gopal
4929.0,False,Harish Swaminathan Gopal
1986.5,False,Harish Swaminathan Gopal
72.5,False,Harish Swaminathan Gopal
2897.0,False,Harish Swaminathan Gopal
575.0,False,Harish Swaminathan Gopal
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
380.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
50.184775848735036,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735015,False,Reference Generator
50.18477584873506,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
3991.5,False,Harish Swaminathan Gopal
633.0,False,Harish Swaminathan Gopal
3648.0,False,Harish Swaminathan Gopal
2769.0,False,Harish Swaminathan Gopal
345.0,False,Harish Swaminathan Gopal
13.0,False,Harish Swaminathan Gopal
1442.5,False,Harish Swaminathan Gopal
1255.5,False,Harish Swaminathan Gopal
5339.5,False,Harish Swaminathan Gopal
3324.0,False,Harish Swaminathan Gopal
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873506,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873503,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873502,False,Reference Generator
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
