author,roadlength
Harish Swaminathan Gopal,397.53113534758785
Harish Swaminathan Gopal,268.336815136875
Harish Swaminathan Gopal,311.5957704120218
Harish Swaminathan Gopal,329.9950019887337
Harish Swaminathan Gopal,304.96891246630776
Harish Swaminathan Gopal,281.0849588237452
Harish Swaminathan Gopal,340.02490358878003
Harish Swaminathan Gopal,335.87310480899737
Harish Swaminathan Gopal,262.28412874079226
Harish Swaminathan Gopal,325.5260995289187
Harish Swaminathan Gopal,238.03037751643515
Harish Swaminathan Gopal,308.8109969204802
Harish Swaminathan Gopal,295.02738238703006
Harish Swaminathan Gopal,241.1123967410248
Harish Swaminathan Gopal,276.9129580447492
Harish Swaminathan Gopal,388.6850493898544
Harish Swaminathan Gopal,327.7775256949559
Harish Swaminathan Gopal,259.5662955003286
Sebastian Asen,295.4192535563619
Sebastian Asen,324.9067965038748
Sebastian Asen,304.79123117023295
Sebastian Asen,332.777652804717
Sebastian Asen,397.55763964062083
Sebastian Asen,314.74923956410163
Sebastian Asen,319.81132865260076
Sebastian Asen,294.4246251071081
Sebastian Asen,322.8081535389738
Sebastian Asen,317.7654977005242
Sebastian Asen,331.78956707120363
Sebastian Asen,335.64513358126464
Sebastian Asen,314.2992604840136
Sebastian Asen,397.3639053349708
Sebastian Asen,321.32686590422696
Sebastian Vogl,68.82372727877143
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,84.03329637837291
Sebastian Vogl,86.0
Sebastian Vogl,100.15549442140352
Sebastian Vogl,107.0
Harish Swaminathan Gopal,270.4827891720918
Harish Swaminathan Gopal,287.4468446936796
Harish Swaminathan Gopal,247.409709693293
Harish Swaminathan Gopal,285.49461494040304
Harish Swaminathan Gopal,350.18813715312194
Harish Swaminathan Gopal,328.0175285364111
Harish Swaminathan Gopal,313.31197966228
Harish Swaminathan Gopal,397.53113534758785
Harish Swaminathan Gopal,268.336815136875
Harish Swaminathan Gopal,311.5957704120218
Harish Swaminathan Gopal,329.9950019887337
Harish Swaminathan Gopal,304.96891246630776
Harish Swaminathan Gopal,281.0849588237452
Harish Swaminathan Gopal,340.02490358878003
Harish Swaminathan Gopal,335.87310480899737
Harish Swaminathan Gopal,262.28412874079226
Harish Swaminathan Gopal,325.5260995289187
Harish Swaminathan Gopal,238.03037751643515
Harish Swaminathan Gopal,308.8109969204802
Harish Swaminathan Gopal,295.02738238703006
Harish Swaminathan Gopal,241.1123967410248
Harish Swaminathan Gopal,276.9129580447492
Harish Swaminathan Gopal,388.6850493898544
Harish Swaminathan Gopal,327.7775256949559
Harish Swaminathan Gopal,259.5662955003286
Harish Swaminathan Gopal,374.0009154412927
Sebastian Asen,310.70393526395634
Sebastian Asen,329.2139327817917
Sebastian Asen,316.9414019396445
Sebastian Asen,363.19070613077827
Sebastian Asen,307.38021874978335
Sebastian Asen,335.9741567877613
Sebastian Asen,331.5833923105823
Sebastian Asen,317.0827146667184
Sebastian Asen,312.87518795072106
Reference Generator,260.20080592756733
Reference Generator,307.30974428213017
Reference Generator,318.82526254657887
Reference Generator,401.6371803526627
Reference Generator,368.0279314946778
Reference Generator,241.35723058574217
Reference Generator,283.09186757300427
Reference Generator,265.43513241140755
Reference Generator,282.7631894887839
Reference Generator,305.21601368859405
Reference Generator,378.49658446235856
Reference Generator,357.3097442821302
Reference Generator,305.2160136885941
Reference Generator,406.76194747509624
Reference Generator,301.7163241920158
Reference Generator,224.24829223117928
Reference Generator,305.2160136885941
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,67.81737101485709
Sebastian Vogl,20.0
Sebastian Vogl,90.0
Sebastian Vogl,102.02775637731995
Sebastian Vogl,102.02775637731995
Sebastian Vogl,67.81737101485709
Sebastian Vogl,17.0
Sebastian Vogl,82.0624390837628
Sebastian Vogl,67.81737101485709
Sebastian Asen,307.5088708920714
Reference Generator,305.2160136885941
Reference Generator,406.76194747509624
Reference Generator,301.7163241920158
Sebastian Vogl,80.0
Sebastian Vogl,100.0
Sebastian Vogl,120.0
Sebastian Vogl,60.0
Sebastian Vogl,60.0
Sebastian Vogl,80.0
Sebastian Vogl,90.0
Harish Swaminathan Gopal,300.9673344837749
Harish Swaminathan Gopal,317.0505830449695
Harish Swaminathan Gopal,336.93938599972455
Harish Swaminathan Gopal,249.95331761311152
Harish Swaminathan Gopal,366.15741086932985
Harish Swaminathan Gopal,302.322725498405
Harish Swaminathan Gopal,277.45075909554845
