author,initialcartolaneangle,travelleddistance
Harish Swaminathan Gopal,-0.0014549788320437074,0.0
Sebastian Asen,0.002226925687864423,27.51361446425124
Sebastian Vogl,-0.0012783149722963572,7.459284156169527
Sebastian Vogl,-0.0014404429821297526,7.394523630274255
Reference Generator,-0.003787287510931492,21.28342612693971
Sebastian Vogl,-0.0012722384417429566,8.793380153670741
Sebastian Asen,-0.005946977995336056,9.656062231847741
Sebastian Asen,-0.005584284663200378,12.967449048003827
Reference Generator,-0.006418433506041765,23.06225406385456
Sebastian Vogl,23.49723243713379,7.832713229045123e-05
Harish Swaminathan Gopal,-0.001455592573620379,0.0
Sebastian Vogl,-0.0014265259960666299,5.947096989173286e-05
Sebastian Asen,-0.006590554490685463,0.2708410360496317
Sebastian Vogl,-0.0015160836046561599,30.063299841977646
Harish Swaminathan Gopal,-0.0014579941052943468,0.0
